,Country,Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Tertiary (male),Gross enrollment ratio - Tertiary (female),Health personnel: Physicians (per 1000 population),Health personnel: Pharmacists (per 1000 population),Health personnel: Nurses and midwives personnel (per 1000 population),Health personnel: Dentists (per 1000 population),Gross domestic expenditure on R & D: as a percentage of GDP (%),Gross domestic expenditure on R & D: Business enterprises (%),Gross domestic expenditure on R & D: Government (%),Gross domestic expenditure on R & D: Higher education (%),Gross domestic expenditure on R & D: Funds from abroad (%),Gross domestic expenditure on R & D: Not distributed (%),Gross domestic expenditure on R & D: Private non-profit (%),"Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)",Percentage of individuals using the internet,Total deaths/days since start
206,Saint Vincent & Grenadines,103.43799999999999,22.9424,13.6961,281.6077,0.389,681.2259,6292.7895,716.4273,-3.346,123.968,112.1378,79.5677,99.4108,,,0.7,,2.6,,,,,,,,,,,,,,,33.7,0.40184850311432596
208,San Marino,,,,556.6667,0.061,2139.3428,68505.0057,1881.1739,-4.6484,,,,,,,,,,,,,,,,,,,,100.0,,,77.2261,,3.636804461146805
209,Sao Tome and Principe,100.1295,42.855,4.6593,215.7177,0.9640000000000001,197.454,1094.7105,249.664,4.5974,128.1224,123.1012,41.5685,44.0904,,,,,,,,,,,,,,,,,,,,18.75,0.26877033937703393
210,Saudi Arabia,134.327,25.2591,5.4265,15.3981,2206.714,528207.3326,19262.5525,509171.9601,5.0395,96.4272,94.959,90.0693,84.7573,23.9492,35.553,2.4,0.5,4.7,,,,,,,,,,,,,,73.1157,41.0,0.35530465517188015
211,Senegal,94.8715,43.2363,4.7755,80.0881,196.71200000000002,16724.6139,1319.1685,14596.2014,4.1794,81.3642,78.4784,25.6415,19.145,,,,,,,0.5772,2.086,85.4425,0.0989,7.8885,,4.4841,,,,16.879,17.8467,17.4231,8.0,0.12445050674352852
212,Serbia,96.0989,15.8259,24.8725,100.9562,88.499,39460.3382,5411.8747,36491.187,0.5844,102.4855,103.0238,87.291,89.954,38.569,50.0615,2.5,,0.9,0.3,0.8115,12.7806,50.629,,12.5519,,0.0137,81.4143,66.4458,74.6774,20.2157,,25.0945,40.9,1.1870962105459586
213,Seychelles,105.6566,23.479,11.5819,209.6043,0.457,969.9645,10628.1178,1084.4192,5.9454,110.1483,108.0622,79.0458,84.774,,,1.1,0.0,4.5,0.2,,,,,,,,,,,,,,41.0,2.8689413152759786
214,Sierra Leone,99.4519,41.3566,4.6463,103.7465,72.3,2578.0263,401.835,3456.7701,5.347,,,,,,,0.0,0.0,0.3,0.0,,,,,,,,11.4775,4.8082,7.3996,18.6123,6.7076,11.3333,0.58,0.02362184661618374
215,Singapore,109.8113,12.2125,17.7681,8154.3443,0.7190000000000001,236420.3372,46075.3094,246178.5167,15.2404,,,,,,,1.7,0.4,5.7,0.3,2.182,52.7702,38.1818,2.2309,6.8171,,,100.0,,100.0,100.0,,100.0,71.0,0.00969109108764192
217,Slovakia,94.6981,15.3377,21.8289,113.2902,49.035,90183.9868,16687.4687,77832.949,5.7208,98.7658,97.6417,92.8467,93.7281,35.3507,45.5645,3.4,,6.4,,1.1717,25.0573,31.9359,3.2577,39.432,,0.3171,,,97.9331,89.0446,76.1726,83.2116,75.71,3.531183861035428
218,Slovenia,98.9355,14.9022,26.2317,103.098,20.273,48161.2509,23569.9011,42209.6219,1.3437,101.0418,100.0044,97.4226,96.9416,65.5811,93.4579,2.4,0.5,8.3,0.6,2.195,69.2089,19.8864,0.3391,10.5579,,0.0077,,,90.1013,,,79.4371,70.0,3.085122181296421
220,Somalia,99.4879,46.753,4.5308,23.2556,637.6569999999999,1092.7844,90.7336,1264.7533,2.6,,,,,,,,,,,,,,,,,,,,,,,,,0.08027524232382127
221,South Africa,97.3454,29.1503,8.1469,46.9955,1221.037,375348.2704,7328.5927,284658.3589,3.0397,107.753,104.1142,84.3189,90.5264,,,0.7,,1.0,0.1,0.7985,38.8986,44.6119,0.1439,13.0188,,3.3269,87.2501,,,,,,24.0,1.8054492067081718
222,South Sudan,100.1506,42.0568,5.1207,17.8586,658.841,14986.3774,1576.1258,16089.9049,-0.882,,,,,,,,,,,,,,,,,,,,,,,,,0.018555532665112128
223,Spain,96.3985,14.7033,24.7956,93.5193,505.944,1420722.034,30272.5614,1196670.854,0.163,103.7268,102.3494,113.7243,121.1793,60.4647,74.2248,3.0,0.9,5.1,0.6,1.2183,45.8473,40.9277,4.3122,8.0398,,0.8731,,,98.6477,95.7576,95.316,95.6624,65.8,2.443935622085675
224,Sri Lanka,92.6015,24.4071,14.9572,336.9165,65.61,56725.7549,2799.6492,59780.0381,8.016,99.8338,99.2878,,,,,0.7,,1.7,0.1,0.1087,34.4414,59.6396,,1.4819,2.1119,2.3253,88.1445,,,,,,12.0,0.487254996322372
226,Suriname,101.176,27.4331,10.0325,3.657,163.82,4368.3774,8255.7578,4418.829,5.1637,105.8415,104.182,58.8107,78.7385,,,,,,,,,,,,,,,,,,,,31.59,1.8038673424602754
227,Sweden,100.1327,17.4952,25.4847,24.1383,438.574,495328.6201,52749.708,453486.4469,6.189,95.9453,95.6575,104.2874,103.8197,64.7616,99.9379,3.9,0.8,11.8,0.8,3.2642,57.2594,,0.9435,,,3.3402,,,99.94,93.9157,87.6619,92.9811,90.0,2.0846364132516824
228,Switzerland,98.22,14.8725,24.0979,213.9843,41.291000000000004,583782.9779,74760.8241,625941.016,3.0027,102.4582,102.1477,98.3063,92.4631,49.0533,42.5048,3.8,0.6,15.0,0.5,3.3716,63.4758,24.3686,1.4763,10.2115,,0.4678,,,94.4987,99.335,98.5398,99.1252,83.9,1.8118735726709152
229,Syrian Arab Republic,101.0466,31.8295,6.775,93.0985,185.18,60465.1121,2830.4286,41986.4604,3.4395,122.128,118.6331,71.2348,68.1697,19.1085,17.1315,1.5,0.8,1.9,0.8,,,,,,,,,,,,,,20.7,0.2186567739614226
230,Tajikistan,101.7348,36.4524,5.1588,63.4486,142.6,5642.1759,749.5523,5871.8375,6.5372,101.8541,98.3281,87.3998,73.0452,27.7885,13.1766,1.7,,4.0,0.2,0.1089,,100.0,,,,,,,46.0297,,,,11.55,0.01915796894876393
231,Thailand,95.1882,17.3538,17.0012,135.4691,513.12,341104.6716,5076.338,346968.126,7.5134,103.3285,100.452,71.9106,75.3994,41.9919,47.2198,0.4,0.1,2.1,0.2,0.6161,66.2391,20.5334,5.5189,1.5472,6.0292,0.1323,,,,,,,22.4,0.38590759173418415
232,Timor-Leste,102.2051,38.3023,6.3523,83.6085,14.919,3998.9613,3656.9522,3324.6558,-1.1721,110.0729,100.1777,55.7141,54.2207,,,,0.0,1.1,0.0,,,,,,,,,,,,,,3.0,0.16571472762022602
233,Togo,98.8749,41.6376,4.5862,141.5421,56.785,3426.0221,533.5088,3100.8368,6.0993,123.9594,105.3032,60.3446,31.9986,,,0.3,,1.5,0.0,,,,,,,,,,,,,,3.0,0.03375942082266936
236,Trinidad and Tobago,97.7288,20.5385,15.3902,269.7971,5.127000000000001,22182.4021,16701.7673,24059.4039,3.3227,100.7071,97.7656,,,,,1.8,0.5,2.9,0.3,0.086,,,,,,,,,,,,,48.5,1.0382217403090268
237,Tunisia,98.2189,24.1116,12.3694,73.5932,163.61,44051.1388,4141.9961,39953.9927,2.9594,112.3627,110.7737,80.5342,88.9446,28.4162,35.151,1.2,0.3,2.2,0.3,0.6297,18.9493,77.1107,,3.94,,,,,86.2931,82.2471,,70.1823,36.8,2.247179199131793
238,Turkey,97.1802,25.0028,12.1021,105.3967,783.562,771876.7912,10672.0439,610066.7102,8.4874,105.7677,100.4938,91.5791,76.0982,,,1.7,0.4,2.3,0.3,0.8815,44.5717,38.4669,15.0031,1.9216,,0.0367,,,,66.5615,,60.5688,39.82,0.8900524836398069
242,Uganda,96.7959,47.3199,3.1297,206.0287,241.55,19683.1405,606.9767,19844.9875,8.1705,123.8607,122.0,,,,,,,,,,,,,,,,19.8997,2.8886,6.1859,,,,12.5,0.1377326296386828
243,Ukraine,86.22,15.629000000000001,22.8226,76.793,603.5,136012.4803,2970.2178,102154.03,0.2721,106.6403,106.2346,99.1725,91.8332,63.0491,77.9343,3.5,0.0,7.5,0.7,0.6148,40.276,39.3549,0.1685,18.1777,2.0188,,,,84.5971,45.8817,,50.925,23.3,1.8991939953170676
244,United Arab Emirates,228.0813,14.5044,2.2087,113.4833,83.6,289787.4527,33893.3169,278379.8794,1.6354,,,,,,,1.4,0.2,2.7,0.4,0.895,,,,,,,,,,,,93.3677,68.0,0.293643889161007
245,United Kingdom,97.3988,17.635,23.6954,275.8131,242.495,2475244.321,39004.9135,2649482.91,1.9495,106.4373,106.3324,103.8922,107.0397,49.5031,68.8105,2.6,0.6,8.8,0.5,1.6682,48.9591,27.6677,1.3701,17.0932,,4.9102,,,99.9796,98.962,91.7989,97.6226,85.0,2.727843790403314
249,Uruguay,93.2801,20.776999999999997,19.5796,19.6357,173.62599999999998,40284.5567,11992.039,45125.3712,7.8033,115.6111,112.7022,94.2077,108.542,33.1919,57.8633,,,,,0.3645,4.5676,28.6335,59.1554,7.3756,,0.268,94.214,,,,,,46.4,2.5721791472723092
250,Uzbekistan,99.3886,28.5183,7.3942,75.1288,448.969,46909.0506,1645.0133,57079.8847,8.5,97.106,96.9825,90.1987,87.5345,11.8981,8.2389,2.5,0.0,11.4,0.2,0.1737,38.9327,56.9601,,1.1907,2.9165,,85.4019,30.2295,58.3431,,,,15.9,0.04535717908159264
251,Vanuatu,102.9335,38.8624,5.7161,23.4217,12.189,700.804,2966.8561,705.8652,1.6291,119.1628,116.1347,,,,,,,,,,,,,,,,,,41.8227,,,,8.0,0.02564957549952548
252,Venezuela (Boliv. Rep. of),98.0039,27.9706,10.5364,33.3343,912.05,393805.6726,13846.9235,342686.5055,-1.4888,105.1434,103.167,70.1218,79.2576,,,,,,,,,89.1321,,,,,,,,,,26.1848,37.37,0.21837888739746655
256,Yemen,101.5918,40.0014,4.487,52.7205,527.9680000000001,30906.7518,1334.7849,47712.5904,3.3175,102.2247,75.5261,62.0823,30.2893,14.4556,5.22,,0.0,0.7,0.0,,,,,,,,,,,67.3811,,,12.35,0.07950105915753106
257,Zambia,98.025,45.4114,3.3133,22.6713,752.612,20265.4005,1489.4476,16222.0644,10.2982,115.3739,108.8322,,,,,0.1,0.0,0.7,0.0,,,,,,,,47.0679,,,,,,10.0,0.3221794658391523
258,Zimbabwe,90.8508,42.5979,4.4723,36.8013,390.75699999999995,12041.6552,948.3319,14100.1541,19.6753,,,,,,,0.1,0.0,0.8,0.0,,,,,,,,,,,19.799,,,6.4,0.34281713094920124
259,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.681569985149468
260,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18173317637373773
261,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10627289957259127
