,Country,Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Tertiary (male),Gross enrollment ratio - Tertiary (female),Health personnel: Physicians (per 1000 population),Health personnel: Pharmacists (per 1000 population),Health personnel: Nurses and midwives personnel (per 1000 population),Health personnel: Dentists (per 1000 population),Gross domestic expenditure on R & D: as a percentage of GDP (%),Gross domestic expenditure on R & D: Business enterprises (%),Gross domestic expenditure on R & D: Government (%),Gross domestic expenditure on R & D: Higher education (%),Gross domestic expenditure on R & D: Funds from abroad (%),Gross domestic expenditure on R & D: Not distributed (%),Gross domestic expenditure on R & D: Private non-profit (%),"Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)",Percentage of individuals using the internet,Total deaths/days since start
72,Chile,97.0562,20.0242,16.1159,24.8415,756.102,218537.5655,12808.0354,201493.8499,5.8442,106.8901,102.1463,92.9039,94.1103,50.4398,48.265,1.4,0.3,1.3,,0.3807,32.7729,42.5962,11.1207,12.8785,,0.6317,98.6473,,96.554,66.6675,,63.2003,45.0,2.7067595748568265
73,China,105.4808,17.9374,15.9633,151.3624,9600.0,6087192.374,4447.0669,7541001.457,10.3919,,,,,20.0283,18.0885,1.5,0.3,1.5,,2.0656,74.726,21.2648,,0.7422,,,92.7454,,,58.3206,37.1313,47.562,34.3,0.005123125995542108
76,Colombia,96.2693,23.5569,12.0886,44.0828,1141.748,286103.6432,6326.5493,233340.6508,4.3476,122.5995,120.4072,78.6698,87.2285,29.5094,31.905,1.6,,0.9,1.0,0.2898,44.6514,9.6361,28.6153,0.4361,,16.661,81.3321,37.1103,71.5874,14.8949,,15.5904,36.5,3.4851093117580207
77,Comoros,101.7736,39.7725,4.8678,437.3412,2.235,907.094,1315.216,760.4988,4.8011,,,,,,,,,,,,,,,,,,,,,,,,5.1,0.29728013282951055
78,Congo,99.6847,41.9442,4.2914,14.9654,342.0,13678.0119,3200.485,10773.9944,14.965,112.419,104.5804,,,,,0.1,,0.4,,,,,,,,,55.4366,12.4224,39.6314,,,,5.0,0.05160296804855562
80,Costa Rica,100.0208,21.5774,13.4657,96.9439,51.1,37268.6352,8141.9178,45675.8157,4.9519,113.2729,110.3871,79.8962,83.3605,,,2.3,,1.9,,0.4499,4.7107,57.4287,,3.6923,31.2349,2.9335,96.1414,80.4348,91.7021,,,,36.5,1.725511902201248
82,Croatia,92.7411,14.437999999999999,27.1453,74.7473,56.593999999999994,59807.8448,13818.2913,49938.1908,-1.4963,103.3731,103.3175,91.6521,94.76,40.5281,49.1693,2.8,0.7,5.8,0.7,0.8403,46.6422,36.3573,2.0335,14.4753,,0.4917,,,92.6169,64.1555,,58.1911,56.55,2.9326719913929793
83,Cuba,98.7147,16.4063,19.9892,106.5319,109.884,64328.0,5730.3548,75942.5389,2.3904,102.558,99.577,92.2962,93.8511,46.4015,78.485,6.8,,9.2,1.1,0.4285,40.0107,55.008,,4.9813,,,,,,36.2324,,38.4072,15.9,0.2465395371382048
85,Cyprus,100.2405,16.8366,18.4824,127.6708,9.251,25707.0787,30993.0709,21513.8319,2.0151,100.9213,100.7913,95.6543,97.4789,31.2016,35.3307,2.2,0.2,3.5,0.7,0.4806,20.0455,50.5605,5.7735,22.9874,,0.6332,,,98.5485,86.3254,,75.8737,52.99,0.46638262237620903
86,Czechia,96.7276,15.3854,25.5217,137.7658,78.8678,207477.8579,19691.3115,171903.9041,2.2734,99.9047,98.4871,94.8168,96.5693,44.8275,52.03,3.5,0.6,8.5,0.7,1.9292,34.5256,32.2145,0.7081,32.4992,,0.0526,,,97.3921,92.3755,80.8212,89.2853,68.82,4.173654268802532
88,Dem. Rep. of the Congo,99.566,46.2835,4.6537,35.9051,2344.8579999999997,21565.7465,334.022,26093.5148,7.1079,,,,,,,,,,,0.4064,0.0425,34.5116,,1.4473,,0.2462,,,,,,,0.72,0.023011050242109827
89,Denmark,98.932,16.4917,25.2828,135.0996,42.92100000000001,321995.3503,57966.5874,283894.1832,1.871,98.7853,98.6751,121.8641,126.4686,67.6549,93.3914,3.7,0.5,10.1,0.8,3.055,59.1095,30.1977,,6.2707,,4.4221,,,96.0131,,,93.0398,88.72,0.6383106100854079
90,Djibouti,111.3485,29.982,6.79,40.729,23.2,1243.6517,1480.1888,1465.9738,11.7416,47.9615,39.196,27.5531,18.2435,2.6726,1.9239,,,,,,,,,,,,,,,35.5542,14.9688,30.8193,6.5,0.25270310808519514
92,Dominican Republic,100.0616,28.2506,10.1888,217.5725,48.67100000000001,53159.5696,5483.126,53753.735,8.3397,111.1122,105.5479,64.8911,77.5294,,,,,,,,,,,,,,,,,,,,31.4,0.5280958685251045
93,Ecuador,100.1517,28.3616,10.2459,67.5848,257.217,69555.367,4633.5904,79915.2303,3.5253,109.8545,109.895,61.5709,62.4632,,,2.1,,1.7,,,,,,,,,82.0424,54.4425,71.7449,36.2783,51.4812,41.9505,29.03,1.93301621947769
94,Egypt,102.1568,33.7755,7.8905,96.8834,1002.0,214630.372,2593.3684,278268.1859,5.1472,98.2245,93.053,,,32.6512,27.4667,,,,,0.7186,6.1993,93.7422,,,,0.0585,,,,67.0048,,57.1312,21.6,0.25190368049730866
95,El Salvador,88.4228,27.4456,11.4037,308.3072,21.0408,18447.9224,2983.2302,21277.2807,1.3654,120.2156,116.119,67.7245,67.7799,21.6392,24.1602,,,,,0.1435,41.909,29.0128,21.1924,6.7975,,1.0853,76.1487,,,,,,15.9,0.6111655025218219
96,Equatorial Guinea,124.5989,37.285,4.0158,44.9912,28.0515,16298.5353,17272.0026,13048.408,-8.9242,91.502,88.4918,29.9447,22.0817,,,,,,,,,,,,,,,,,,,,6.0,0.1439808961932856
97,Eritrea,100.4412,41.9532,6.484,33.791,117.6,2117.0395,667.7442,3458.1922,2.1942,123.9547,100.7539,50.3627,30.23,,,,,,,,,,,,,,,,,,,,0.61,0.05142315998201631
98,Estonia,88.6952,16.2219,25.8842,31.125,45.227,19696.7681,14786.2423,19572.4381,2.7069,100.1597,97.5818,101.0339,104.6716,50.9444,85.7975,3.2,0.6,6.4,0.9,1.466,41.0079,46.3609,0.2147,12.1756,,0.2411,,,95.3757,97.4117,93.8615,96.279,74.1,1.4098578477860662
99,Eswatini,94.7618,38.3444,5.7431,65.3956,17.363,4438.7399,4168.4689,3525.0643,3.7933,115.9955,107.5413,53.8801,51.8267,5.1252,4.9286,,,,,0.2701,22.3326,41.7011,,33.456,,2.5104,83.0334,,,,,,11.04,1.0452051215050955
100,Ethiopia,100.0555,41.2508,5.2356,106.3999,1104.3,26311.2972,300.2203,38120.0467,12.5505,86.0648,71.9123,31.2986,18.829,4.2681,1.3636,,,,,,,,,,,,37.0339,1.7417,7.854,,2.7893,,0.75,0.07617196578797562
103,Fiji,102.9701,29.6513,8.6967,48.0273,18.272000000000002,3140.5275,3652.5491,3883.5647,3.0,,,,,14.7469,17.6047,,,,,,,,,,,,,,,,,,20.0,0.9251422734568802
104,Finland,97.084,16.2512,27.8454,18.1361,338.44,249181.1905,46438.9329,233659.0341,3.1857,98.7891,98.0327,109.3475,114.3419,83.2615,100.4912,3.3,1.1,14.3,0.8,2.8916,54.7645,28.8853,0.3014,14.5217,,1.527,,,98.4038,99.1195,,99.12,86.89,0.2600892133723451
105,France,93.917,18.1098,25.7358,118.4215,551.5,2642609.549,40685.2612,2316635.691,1.9494,105.1338,104.1135,106.5808,106.9919,47.8666,59.9969,3.4,1.2,9.0,,2.267,54.039,34.8105,2.5973,7.6237,,0.9294,,,97.3401,,,88.8475,77.28,2.4490692089345245
108,Gabon,103.836,36.8221,5.3608,8.0134,267.668,14358.631,8840.7594,11138.7871,7.0882,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.11856594489647711
109,Gambia,98.413,44.3758,3.9866,218.7637,11.295,1543.2949,860.6393,1350.5956,5.9083,78.3713,80.9452,,,,,,,,,,,,,,,,59.1804,,,,,,9.2,0.15469898759927306
110,Georgia,91.3288,19.5291,20.6682,57.6877,69.7,12243.2021,2986.8032,11739.3801,6.2494,98.8599,102.9209,92.6794,96.2598,49.3984,53.4897,4.4,0.1,3.9,0.3,0.3198,,,,,,,,,78.5292,10.7008,,24.6348,26.9,2.198924672617913
111,Germany,97.1781,13.4507,27.9017,237.1426,357.376,3396354.076,42020.0427,3082968.548,4.179,103.3078,102.895,103.5841,100.9135,,,3.8,0.6,11.9,0.8,2.912,65.585,27.9035,,6.1527,,0.3588,,,99.8,98.1588,91.138,96.5417,82.0,1.5855861135473568
112,Ghana,102.7016,37.82,4.9287,127.9839,238.537,42587.4188,1718.647,34971.3451,7.8998,88.2945,84.7245,43.4808,36.434,7.5037,4.1754,0.1,,1.1,,,,,,,,,44.2845,5.9407,25.386,,,,7.8,0.046659968163944104
114,Greece,96.4151,14.2048,27.3759,81.9973,131.957,299361.5766,27495.5508,240488.2693,-5.4786,98.8717,96.7571,103.1407,98.3895,80.8205,90.103,3.9,1.0,3.8,1.3,0.9612,31.4,53.0561,2.4633,12.6621,,0.4185,,,99.8153,90.8399,,83.9658,44.4,1.7734198733449429
116,Grenada,101.6514,23.3644,14.005999999999998,326.1,0.345,771.0148,7257.7713,855.954,-0.4665,104.712,101.6785,108.4417,111.4989,,,,,,,,,,,,,,,,87.1172,,,,27.0,0.03078817733990149
119,Guatemala,96.9458,35.0509,6.8781,157.8478,108.889,41338.1588,2825.4942,52848.6126,2.8694,113.292,106.3013,43.2019,39.7856,,,,,,,0.0299,,27.7861,28.1796,44.0178,0.0165,,61.5919,43.3764,52.1932,,,,10.5,0.9213564849309015
120,Guinea,92.5869,44.2484,4.702,49.1109,245.857,6853.4678,672.4244,7025.6526,4.8134,86.6281,69.4309,38.9553,19.1452,5.1727,1.111,,,,,,,,,,,,,,,,,,1.0,0.02664273836912273
121,Guinea-Bissau,95.2561,42.4861,4.5813,65.0123,36.125,849.0501,557.6321,891.1004,4.6108,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.061324688868642396
122,Guyana,100.5531,28.5753,9.5851,3.9381,214.96900000000002,2259.2903,3014.6541,2552.9032,4.1384,101.1069,100.6475,88.1405,90.297,7.7233,16.4124,0.7,,1.0,,,,,,,,,,,,,,,29.9,0.9562205055757613
123,Haiti,97.4506,33.6244,7.3229999999999995,398.4893,27.75,6707.7782,674.1945,7095.1497,-5.5005,,,,,,,,,,,,,,,,,,,,,,,,8.37,0.07299436719401027
125,Honduras,99.7705,32.3451,6.8193,84.2704,112.492,15839.3446,1904.3465,17639.2291,3.7311,101.7894,101.7076,,,,,0.3,,0.9,,0.015,,82.4808,,,,,,17.3627,,34.0114,,,11.09,1.1508210787922672
126,Hungary,90.6684,14.3723,25.9555,107.4762,93.024,131135.5612,13209.4967,112513.7598,0.6643,99.1519,97.1281,96.7463,95.7625,52.9949,77.4841,2.9,0.6,6.4,0.5,1.3625,49.7169,34.6241,,14.9512,,0.7079,,,70.0267,94.9743,98.2175,95.9826,65.0,4.557717435792556
127,Iceland,100.6763,19.9897,20.0749,3.3356,103.0,13683.6897,42717.7446,15131.9033,-3.4359,98.0117,95.662,110.4616,112.0669,48.1197,92.4941,3.6,0.5,15.2,0.9,2.2032,35.7703,30.8003,3.9985,25.3598,,4.0699,,,95.8089,,,65.8657,93.39,0.12464165524118162
128,India,108.2583,27.4787,9.3995,450.2493,3287.263,1669619.772,1352.7062,1567417.975,8.4976,,,58.4265,49.0158,12.3362,8.8522,0.7,0.5,0.9,,0.6931,,,,,,,,40.0173,,,22.607,,7.5,0.4967415092814441
129,Indonesia,101.4421,26.9149,9.047,146.0893,1910.931,755094.1576,3122.3628,657835.4338,6.2239,109.6047,106.2415,60.4604,59.8385,,,0.1,,1.1,0.0,,,,,,,,,,,,,,10.92,0.41254838361985646
130,Iran (Islamic Republic of),102.419,24.2478,9.4,49.5372,1628.75,491098.6577,6657.8347,401978.5337,5.7979,100.8735,97.4537,78.6037,75.8056,23.1038,24.5148,,,,,0.4176,,,,,,,95.0948,82.902,91.5133,,,,15.9,1.4776158079165989
131,Iraq,102.3443,38.7745,5.0868,86.4634,435.05199999999996,138516.7226,4657.2804,120516.3496,6.4026,,,,,20.1287,11.9854,0.7,0.2,,0.2,0.0378,1.102,96.4207,,0.0868,,0.2998,62.6358,38.4864,55.1744,35.0609,39.2091,36.3426,2.5,0.718733953921399
132,Ireland,98.1496,21.6033,18.5875,68.9981,69.797,222148.7613,48777.581,210478.8342,1.81,103.2622,102.8829,105.2217,114.5627,52.5497,65.3106,4.1,1.0,12.8,0.6,1.1827,48.6904,26.1237,0.9696,23.617,,0.5993,,,95.8928,74.1682,68.8255,72.1135,69.85,1.489495907448221
134,Israel,98.6706,27.9446,16.1195,380.9542,22.072,233995.6779,31851.5481,252233.0104,5.5761,104.4908,105.0498,106.2687,105.6416,50.6706,67.1524,3.5,0.8,5.2,0.9,4.2559,33.1583,12.844,0.674,52.527,,0.7967,99.7573,99.7334,99.7553,87.9355,86.0858,87.7843,67.5,1.112759351222706
135,Italy,94.5175,13.4751,28.6317,206.2749,302.073,2134017.843,35971.5062,1899561.667,1.7133,102.9687,101.5758,99.6247,98.9317,54.6233,74.7521,3.8,,5.5,0.6,1.3412,49.9932,37.9794,0.9916,8.3017,,2.7341,,,91.8114,96.2288,96.0582,96.1748,53.68,2.9328035398628183
136,Jamaica,98.6962,24.0142,12.4007,269.6997,10.9905,13220.5458,4704.0505,13748.2783,-1.457,,,87.0607,92.3972,,,,,,,,,,,,,,,,,,,,27.67,0.6080229042402159
137,Jordan,102.4768,34.8862,5.667000000000001,110.2258,89.318,26519.613,3652.0651,33280.9865,2.6608,96.4126,97.4169,83.2051,85.6754,35.846,38.9596,2.2,1.3,3.5,0.8,,,,,,,,,,93.893,83.341,,79.0034,27.2,2.224455212566125
138,Kazakhstan,94.0358,27.9149,11.2877,6.697,2724.902,148047.3482,9109.3285,144701.5509,7.2529,102.5733,102.5085,,,,,3.9,0.7,7.7,0.4,0.1695,36.5882,58.7553,,1.8103,2.8462,,,,75.4465,91.6369,,,31.6,0.34895521352480247
139,Kenya,98.7303,40.35,3.8101,88.2404,591.9580000000001,39999.6776,951.6782,48917.8599,8.3999,101.5366,97.1406,48.332,45.6517,3.6891,2.181,0.2,0.1,0.7,0.0,,,,,,,,55.947,,,,,,7.2,0.12788097321326675
141,Kuwait,149.2402,21.4225,4.9946,227.615,17.817999999999998,115416.0475,38576.3778,95860.9762,-2.3706,103.0336,106.9174,104.7961,114.7278,,,2.4,,6.5,0.5,0.0966,,,,,,,,,100.0,,,100.0,61.4,0.8066949095210842
142,Kyrgyzstan,97.9429,32.1807,7.3726,32.2718,199.949,4794.3618,884.1945,5263.4868,-0.4716,99.6289,98.048,86.4343,86.7348,37.766,47.485,2.3,0.0,5.6,0.2,0.119,8.6699,89.2477,0.2497,1.0046,0.8282,,87.5281,40.6849,57.2233,,,,16.3,0.5622935282063385
144,Latvia,84.9528,15.5763,26.4714,31.3681,64.57300000000001,23803.9036,11234.2922,22728.7488,-4.4734,106.0629,103.5472,102.9515,102.4117,54.4265,97.2924,3.1,0.7,5.2,0.7,0.6262,20.0394,32.7201,2.2339,45.0066,,,,,93.7628,86.9058,70.9073,81.7608,68.42,2.0208982814531664
145,Lebanon,101.1578,26.588,10.1309,666.6054,10.452,38419.6352,7756.7458,45918.3104,8.0373,,,,,,,2.3,1.1,1.8,1.2,,,,,,,,,,46.3454,,,19.605,43.68,1.6911646727626388
146,Lesotho,97.0596,32.9814,7.3551,68.8911,30.355,2385.9436,1195.6135,2037.4589,6.072,127.8351,126.2727,34.0192,43.0188,2.9523,3.7437,0.1,,0.7,,0.048,0.7813,91.0571,,7.823,,0.3386,,,,,,,3.86,0.30648549681156845
147,Liberia,100.8466,41.4787,5.0845,48.8188,111.369,1292.0,332.0179,1565.5025,7.3,,,,,,,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,2.3,0.04665555613422912
148,Libya,102.1651,28.5394,6.5022,3.74,1676.1979999999999,80942.4196,13060.1518,155910.3644,4.3247,102.698,101.4564,84.5203,100.7372,,,,,,,,,,,,,,,,,,,27.3172,14.0,0.8616445471585905
149,Liechtenstein,,,,237.0125,0.16,5621.0572,156166.506,5980.3828,7.4033,111.5423,102.468,115.2497,100.1397,35.3774,14.0221,,,,,,,,,,,,,,100.0,,,99.65,80.0,2.28328173374613
150,Lithuania,85.7032,14.7275,25.7359,45.4002,65.286,37034.4617,11855.5196,34377.3575,1.4822,103.2481,102.421,104.8151,104.1658,62.5167,97.5386,3.4,,7.6,0.8,1.041,28.5311,35.345,1.4648,34.3496,,0.3095,,,81.9458,93.4658,75.8044,87.5946,62.12,2.3467351863197807
151,Luxembourg,101.5253,16.0651,19.3638,228.5367,2.5860000000000003,53212.4768,104771.8632,50116.9089,4.865,100.7357,100.8861,92.8973,97.9194,,,2.8,0.7,11.4,0.8,1.2841,47.0784,47.6672,1.6458,3.3822,,0.2114,100.0,100.0,100.0,93.3535,85.7907,92.4874,90.62,1.9025963479431076
152,Madagascar,99.4788,40.9723,4.7921,43.9511,587.295,9982.7113,471.9592,9925.2066,0.6192,141.975,135.8254,21.931,21.0019,2.8295,2.5218,0.2,0.0,0.2,0.0,,,,,,,,,,,,,,1.7,0.06672218223871401
153,Malawi,97.198,44.2969,4.0517,187.4225,118.484,6959.6576,478.6687,5294.3972,6.8741,129.9401,131.0242,31.3494,24.8061,0.6473,0.3451,,,,,,,,,,,,,,,,,,2.26,0.13410024357830497
154,Malaysia,105.9319,24.3438,9.9357,94.6725,330.32300000000004,255017.6452,9040.603,232653.6573,7.4248,99.9744,100.0107,76.7978,84.7114,24.0959,31.8906,1.2,0.3,3.2,0.1,1.2998,49.5963,35.7657,6.9777,1.6809,5.9794,,,,93.251,,,81.5166,56.3,0.32598487361897466
155,Maldives,162.0552,20.395,5.814,1654.6733,0.3,2588.1761,7076.6624,3116.6855,7.2651,117.9645,116.0529,,,,,1.4,0.7,5.1,0.1,,,,,,,,,,,,,,26.53,0.6448279248924931
156,Mali,100.1554,47.7228,3.9569,15.1718,1240.192,10678.749,709.5819,8803.2899,10.8691,82.7029,64.9591,31.8576,19.637,,,0.1,0.0,0.4,0.0,0.3146,0.8902,43.6007,,32.6839,22.3963,0.334,,,,8.3252,16.903,13.8151,2.0,0.044150762583503436
157,Malta,100.4554,14.2298,26.5118,1368.5406,0.3154,8740.5392,21099.5194,8191.7839,3.5427,101.4559,98.9543,103.8374,99.9162,27.6774,37.2036,2.2,0.7,6.9,0.4,0.7409,45.6309,32.8139,1.1022,20.3956,,0.0588,,,100.0,93.0014,93.025,93.0028,63.0,1.4234007076334947
160,Mauritania,100.6211,40.2626,4.9348,4.155,1030.7,5449.7047,1559.6453,4717.3794,6.8937,92.2085,95.2029,23.7709,20.8146,4.3721,1.4632,0.2,,0.8,,,,,,,,,,,,,,,4.0,0.18676405754647793
161,Mauritius,97.881,18.3574,16.5859,622.9059,1.969,10003.6707,8016.0508,9775.4223,4.3771,103.3393,103.1085,89.6709,87.6169,21.0264,21.6871,1.2,0.3,2.9,0.2,,,,,,,,,,,,,,28.33,0.0213442863165586
162,Mexico,95.7205,26.9392,10.4244,64.1875,1964.375,1057800.598,9271.3921,1012354.91,5.1181,109.5726,107.5982,80.5659,84.0333,24.5215,23.9217,2.2,0.0,2.4,0.1,0.4299,17.3805,79.7006,1.7423,0.6282,,0.5484,,,41.3345,35.2823,,34.1356,31.05,2.8047426834811557
164,Monaco,,,,25969.7987,0.002,5362.3495,150577.0399,4541.5068,-1.3951,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0,75.0,1.226309921962096
165,Mongolia,97.4842,29.9498,6.54,2.0043,1564.116,7189.4832,2643.2934,7232.255,6.3654,97.9856,97.972,85.6185,95.0209,33.8242,55.9093,2.8,0.4,3.6,0.2,0.1547,7.3461,80.0568,9.6825,,2.9147,,,,24.332,,,,10.2,1.4140872769795008
166,Montenegro,97.7779,18.2503,21.0685,46.659,13.812000000000001,4138.9589,6630.025,3704.0384,2.7343,111.7792,113.6946,93.0177,96.0597,17.2209,27.247,2.0,,5.3,0.0,0.374,29.8553,57.7831,,5.9096,,0.0229,94.6035,,89.1203,30.6052,,,37.5,3.7985735695552116
168,Morocco,98.3495,27.4526,10.6308,79.725,446.55,93217.222,2882.1105,81273.858,3.9682,110.9454,100.662,54.2799,46.293,13.0786,10.512,,,,,,,,,,,,87.8725,32.0691,64.4452,39.4488,,36.8898,52.0,0.3863428275239224
169,Mozambique,94.1291,44.9595,4.4485,36.4315,799.38,11121.1663,472.6061,11324.0296,6.6876,109.5158,91.3164,15.9828,10.9309,1.9611,0.9398,0.0,0.0,0.4,0.0,0.3375,0.4717,43.4901,,39.8826,2.8353,,,,,,9.8455,,4.17,0.0926185277104068
171,Namibia,93.9169,36.8825,5.5593,2.9183,824.1160000000001,11282.1588,5324.6011,8855.4474,6.0394,114.5788,112.0468,60.2781,66.6729,7.3431,6.2392,,,,,,,,,,,,,,,,,,11.6,1.8659732730688832
173,Nepal,83.2683,31.3365,8.4515,192.7637,147.181,16280.8025,602.6978,16833.1106,4.8164,119.5655,109.151,53.1282,43.1484,10.1842,5.4908,,,,,,,,,,,,34.4578,24.2072,25.926,,,,7.93,0.6657814880488402
174,Netherlands,99.0218,16.3531,25.0462,504.7849,41.542,846554.8949,50743.8175,737269.1611,1.3427,107.9386,105.4801,119.5314,117.1628,56.3907,61.0837,3.0,0.2,0.2,0.5,1.9849,48.6485,33.1273,0.1599,15.5092,,2.5551,,,99.9709,97.4667,97.438,97.463,90.72,1.509099466564266
176,New Zealand,96.7268,19.7162,20.8563,17.8574,268.107,146583.8315,33542.735,152914.1026,0.9622,100.1202,99.2947,117.0688,123.5743,,,3.1,0.6,10.6,0.6,1.2341,43.75,37.0855,,7.7487,,3.0931,,,88.6655,,,84.4876,80.46,0.008362777278334135
177,Nicaragua,97.1943,30.5484,7.8709,53.0567,130.373,8758.6024,1503.8641,9778.7879,4.4101,120.3226,118.5865,63.141,73.4748,,,0.7,,1.3,0.0,0.1074,,,,,,,66.9584,29.8235,50.9596,,,,10.0,0.04837333048054718
178,Niger,100.8134,50.0929,4.1346,17.0541,1267.0,7620.3161,462.8465,7149.3078,8.3692,56.2087,40.2012,11.8619,7.4483,1.6062,0.573,,,,,,,,,,,,,,,20.3122,4.9656,7.4549,0.83,0.013643210494976379
179,Nigeria,102.656,44.0131,4.4853,209.5735,923.768,363359.8258,2292.4448,387073.7703,8.0057,109.8247,92.6058,38.1349,31.6809,12.2584,8.6706,,0.1,1.4,0.1,,,,,,,,24.1431,13.9841,18.4012,27.4244,24.5787,25.816,11.5,0.018896202991944
181,North Macedonia,100.1513,16.6612,19.4396,82.5534,25.713,9407.1601,4542.8956,8918.6348,3.3588,94.5246,92.5407,82.7846,80.2048,24.633,34.0557,2.7,,4.2,0.8,0.4441,16.7781,52.8561,24.9799,5.2409,,0.145,92.9016,89.1273,91.282,8.608,,14.4591,51.9,3.8728666412569357
